Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
D-Pencillamine,300mg (1 to 4 tablets for daily),Metalic poisoning- In the treatment of metalic poisoning and Wilson's disease.,1974-July,"German Remedies, Bombay"
DPT Acthi B Vaccine,,,1998-January,Pasteur merieux
Dried Aluminium Hydroxide Gel IP 600mg + Magnesium Hydroxide IP 300mg + Simethicone IP 25mg + Oxetacaine BP 10mg per 5ml syrup,,"For the treatment of symptoms of functional gastrointestinal disorders like irritable bowel syndrome, functional dyspepsia, peptic ulcer, gasteroesophagal reflux disease which include smooth muscle spasms, flatulence, abdominal distension, hyperacidity, gÞ¡",05.10.10,
Dried ferrous Sulphate + Ascorbic acid + Sodium Bicarbonate + Talcum,"Each capsule contains; Dried ferrous Sulphate eq. To 50mg as Elemental Iron, Ascorbic acid-3mg, Sodium Bicarbonate-84mg, Talcum-12mg",,1973-December,Hoechst
Dried Ivy Leaf Extract (0.7gm/100ml) cough syrup,Each 100ml solution contains; active agent dried ivy leaf extract-0.7gm,For the treatment of acute inflammation of respiratory tract accompanies by coughing & symptomatic treatment of chronic inflammatory bronchitis in adults.,15/09/2005,USV ltd.
Dronedarone (as Hydrochloride) film coated tablet .... 400 mg.Â ,Each film coated tablet contains; dronedarone hydrochloride eq.to dronedarone-400mg,"To reduce the risk of cardiovascular hospitalization in patients with paroxysmal or persistent atrial fibrillation (AF) or atrial flutter (AFL), with a recent episode of AF/AFL and associated cardiovascular risk factors (i.e., age > 70, hypertension, diabÞ¡",09.04.10,"Sanofi-Synthelabo ltd., Mumbai"
Droperidol,Each ml contains; 2.5 mg droperidol,By RMP- to produce tranquilization and to reduce the incidence of nausea & vomiting in surgical & diagnostic procedures for premedication indication and as an adjunct in maintenance of general anaesthesia.,29-03-2001,Troikae pharmaceuticals 
Drosperinone 3mg + Ethinyl Estradiol 0.02mg tablets,,For the treatment of symptoms of premenstrual dysphoric disorders (PMDD) in women (additional indication).,16.03.10,
Drosperinone (3mg) + Ethinylestradiol (0.035mg tablet),,Oral Contraceptive.,11/05/2005,
Drosperinone + Ethinylestradiol tablets Same as approved,,"For the treatment of moderate acne vulgaris in adult females, who have no known contraindications to oral contraceptive therapy, and have achieved menarche. It should be used for the treatment of acne only if the patient desires an oral contraceptive for Þ¡",09.10.10,
Drospirenone 3mg + Ethinyl estradiol 0.02mg tablets (Additional Strength),,Oral contraceptive in women.,28.03.08,
Drospirenone 4 Mg Film-Coated Tablets,Drospirenone 4.0000 Milligram (Mg),Prevention Of Pregnancy In Women Of Reproductive Age Who Elect To Use Oral Contraceptives As A Method Of Contraception,16-FEB-2021,ORDAIN HEALTH CARE GLOBAL PRIVATE LIMITED
Drospirenone+Estradiol,"Drospirenone Ip 0.2500 Milligram (Mg),Estradiol (As Hemihydrate) Usp Equivalent To Anhydrous Estradiol 0.5000 Milligram (Mg)",It Is Indicated In Women With An Intact Uterus For The Treatment Of: • Vasomotor Symptoms Due To Menopause. • Vulvar And Vaginal Atrophy Symptoms Due To Menopause.,10-SEP-2025,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Drospirenone+Estradiol,"Drospirenone Ip 0.5000 Milligram (Mg),Estradiol (As Hemihydrate) Usp Equivalent To Anhydrous Estradiol 1.0000 Milligram (Mg)",It Is Indicated In Women With An Intact Uterus For The Treatment Of: • Vasomotor Symptoms Due To Menopause. • Vulvar And Vaginal Atrophy Symptoms Due To Menopause.,10-SEP-2025,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Drospirenone Tablet 4 Mg,Drospirenone 4.0000 Milligram (Mg),Indicated For Use By Females Of Reproductive Potential To Prevent Pregnancy,22-APR-2021,Synokem Pharmaceuticals Ltd
Drotaverine + Aceclofenac (80mg + 100mg) Tablets,,For the treatment of adult patients with muscular pain associated with spasm.,15.09.08,
Drotaverine Hydrochloride+Mefenamic Acid,"Drotaverine Hydrochloride 80.0000 Milligram (Mg),Mefenamic Acid 250.0000 Milligram (Mg)",For The Treatment Of Spasmodic Dysmannoherea,31-MAY-2021,INNOVA CAPTAB LIMITED
Drotrecogin alpha (activated),"Each vial contains; drotrecogin alpha (activated) lyophilized-5mg,20mg",For reduction of mortality in adult patients with severe sepsis.,23-07-2002,Eli lilly & co.
DTaP vaccine,"Each 0.5ml contains; components of pertussis (pertussis toxoid:10mcg, filamentous hemagglutinin:5mcg, fimbrial (agglutinogens 243):5mcg, pertactin:3mcg (69KDa membrane protein), diptheria toxoid:15Lf, tetanus toxoid:5Lf","Primary immunization of infants at or above the age of 2 months and as a booster in children upto their 7th birthday against diptheria, tetanus & whooping cough.",01/02/2002,Aventis pastem
DTP + Hepatitis B-combined vaccine (finished formulation import),"Each 0.5ml dose of vaccine contains; min.30 IU (7.5 LF) of diptheria toxoid, min.60 IU (3.2 LF) of tetanus toxoid, min.4 IU (150U) of bordettella pertusis killed, r-H-Bs Ag protein-10mcg","In children from 6 weeks onwards, by RMP, for active immunization against DTP and Hepatitis-B",25-05-2000,S K Beechem pharma p ltd.
D-trans Fentantyl Transdermal patches,,For pain.,05/04/2006,
D-Trans Fentanyl Metrix system (12mcg/hr.) (Additional Strength),,Same as Approved.,07.01.08,
Dulaglutide,"Dulaglutide 0.7500 Milligram (Mg),Trisodium Citrate Dihydrate 1.3700 Mg/Syringe,Citric Acid Anhydrous 0.0700 Mg/Syringe,Mannitol 23.2000 Mg/Syringe,Polysorbate 80 0.1000 Mg/Syringe,Water For Injection 0.5000 Ml",Dulaglutide Is A Glucagon-Like Peptide-1 (Glp-1) Receptor Agonist Indicated: • As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus. • To Reduce The Risk Of Major Adverse Cardiovascular Events In Adults With Type 2 Diabetes Mellitus Who Have Established Cardiovascular Disease Or Multiple Cardiovascular Risk Factors,08-APR-2024,LUPIN LIMITED
Dulaglutide,"Dulaglutide 1.5000 Milligram (Mg),Trisodium Citrate Dihydrate 1.3700 Mg/Syringe,Citric Acid Anhydrous 0.0700 Mg/Syringe,Mannitol 23.2000 Mg/Syringe,Polysorbate 80 0.1000 Mg/Syringe,Water For Injection 0.5000 Ml",Dulaglutide Is A Glucagon-Like Peptide-1 (Glp-1) Receptor Agonist Indicated: • As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus. • To Reduce The Risk Of Major Adverse Cardiovascular Events In Adults With Type 2 Diabetes Mellitus Who Have Established Cardiovascular Disease Or Multiple Cardiovascular Risk Factors,08-APR-2024,LUPIN LIMITED
Dulaglutide Solution For Injection 0.75 Mg /0.5 Ml And 1.5 Mg / 0.5 Ml,"Dulaglutide 1.5000 Mg Per 0.5ml,Trisodium Citrate Dihydrate 1.3700 Milligram (Mg),Citric Acid Anhydrous 0.0700 Milligram (Mg),Mannitol 23.2000 Milligram (Mg),Polysorbate 80 0.1000 Milligram (Mg),Water For Injection 0.5000 Q.S.","Trulicity™ Is A Glucagon-Like Peptide-1 (Glp-1) Receptor Agonist Indicated: ∙ As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus. ∙ To Reduce The Risk Of Major Adverse Cardiovascular Events (Cardiovascular Death, Non-Fatal Myocardial Infarction, Or Non-Fatal Stroke) In Adults With Type 2 Diabetes Mellitus Who Have Established Cardiovascular Disease Or Multiple Cardiovascular Risk Factors.",07-FEB-2022,Cipla Limited
Dulaglutide Solution For Injection 0.75 Mg /0.5 Ml And 1.5 Mg / 0.5 Ml,"Dulaglutide 0.7500 Milligram (Mg),Trisodium Citrate Dihydrate 1.3700 Milligram (Mg),Citric Acid Anhydrous 0.0700 Milligram (Mg),Mannitol 23.2000 Milligram (Mg),Polysorbate 80 0.1000 Milligram (Mg),Water For Injection 0.5000 Q.S.","Trulicity™ Is A Glucagon-Like Peptide-1 (Glp-1) Receptor Agonist Indicated: ∙ As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus. ∙ To Reduce The Risk Of Major Adverse Cardiovascular Events (Cardiovascular Death, Non-Fatal Myocardial Infarction, Or Non-Fatal Stroke) In Adults With Type 2 Diabetes Mellitus Who Have Established Cardiovascular Disease Or Multiple Cardiovascular Risk Factors.",07-FEB-2022,Cipla Limited
Dulaglutide Solution For Injection (R-Dna Origin) 0.75 Mg/0.5 Ml And 1.5 Mg/0.5 Ml In Prefilled Pen,Dulaglutide (R-Dna Origin) 1.5000 Mg/0.5ml,"Trulicity™ Is A Glucagon-Like Peptide-1 (Glp-1) Receptor Agonist Indicated:  As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.  To Reduce The Risk Of Major Adverse Cardiovascular Events (Cardiovascular Death, Non-Fatal Myocardial Infarction, Or Non-Fatal Stroke) In Adults With Type 2 Diabetes Mellitus Who Have Established Cardiovascular Disease Or Multiple Cardiovascular Risk Factors.",18-NOV-2025,Cipla Limited
Dulaglutide Solution For Injection (R-Dna Origin) 0.75 Mg/0.5 Ml And 1.5 Mg/0.5 Ml In Prefilled Pen,Dulaglutide (R-Dna Origin) 0.7500 Mg/0.5ml,"Trulicity™ Is A Glucagon-Like Peptide-1 (Glp-1) Receptor Agonist Indicated:  As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.  To Reduce The Risk Of Major Adverse Cardiovascular Events (Cardiovascular Death, Non-Fatal Myocardial Infarction, Or Non-Fatal Stroke) In Adults With Type 2 Diabetes Mellitus Who Have Established Cardiovascular Disease Or Multiple Cardiovascular Risk Factors.",18-NOV-2025,Cipla Limited
Duloxetine 10 Mg/ 20 Mg  (As Gastro Resistant Pellets)+Pregabalin 50 Mg/ 75 Mg Capsule,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride Eq To Duloxetine 20.0000 Milligram (Mg)",For The Treatment Of Patients With Peripheral Neuropathic Pain,30-JAN-2023,Synokem Pharmaceuticals Ltd
Duloxetine 10 Mg/ 20 Mg  (As Gastro Resistant Pellets)+Pregabalin 50 Mg/ 75 Mg Capsule,"Pregabalin 50.0000 Milligram (Mg),Duloxetine Hydrochloride Eq To Duloxetine 10.0000 Milligram (Mg)",For The Treatment Of Patients With Peripheral Neuropathic Pain,30-JAN-2023,Synokem Pharmaceuticals Ltd
Duloxetine 10 Mg (Delayed Release) Capsules+Pregabalin 50 Mg,"Pregabalin 50.0000 Milligram (Mg),Duloxetine Hydrochloride Eq. To Duloxetine 10.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Peripheral Neuropathic Pain.,07-AUG-2023,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine 30 Mg (Delayed Release) Capsules+Methylcobalamin 1500 Mcg+Pregabalin 75 Mg,"Pregabalin 75.0000 Milligram (Mg),Methylcobalamin 1500.0000 Mcg,Duloxetine Hydrochloride Eq. To Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",It Is Indicated For Treatment Of Patients With Diabetic Peripheral Neuropathic Pain And Coexistent Vitamin B12 Deficiency.,09-MAY-2025,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine 30 Mg (Delayed Release) Capsules+Methylcobalamin 1500 Mcg+Pregabalin 75 Mg,"Pregabalin 50.0000 Milligram (Mg),Methylcobalamin 1500.0000 Mcg,Duloxetine Hydrochloride Eq. To Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",It Is Indicated For Treatment Of Patients With Diabetic Peripheral Neuropathic Pain And Coexistent Vitamin B12 Deficiency.,09-MAY-2025,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine 30 Mg (Delayed Release) Capsules+Methylcobalamin 1500 Mcg+Pregabalin 75 Mg,"Pregabalin 75.0000 Milligram (Mg),Methylcobalamin 1500.0000 Mcg,Duloxetine Hydrochloride  Eq. To Duloxetine  (As Delayed Release Pellets) 30.0000 Milligram (Mg)",It Is Indicated For Treatment Of Patients With Diabetic Peripheral Neuropathic Pain And Coexistent Vitamin B12 Deficiency.,09-MAY-2025,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine 30 Mg (Delayed Release) Capsules+Methylcobalamin 1500 Mcg+Pregabalin 75 Mg,"Pregabalin 50.0000 Milligram (Mg),Methylcobalamin 1500.0000 Mcg,Duloxetine Hydrochloride Eq. To Duloxetine (As Delayed Release Pellets) 10.0000 Milligram (Mg)",It Is Indicated For Treatment Of Patients With Diabetic Peripheral Neuropathic Pain And Coexistent Vitamin B12 Deficiency.,09-MAY-2025,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine 30 Mg (Delayed Release) Capsules+Methylcobalamin 1500 Mcg+Pregabalin 75 Mg,"Pregabalin 75.0000 Milligram (Mg),Methylcobalamin 1500.0000 Mcg,Duloxetine Hydrochloride Eq. To Duloxetine (As Delayed Release Pellets) 10.0000 Milligram (Mg)",It Is Indicated For Treatment Of Patients With Diabetic Peripheral Neuropathic Pain And Coexistent Vitamin B12 Deficiency.,09-MAY-2025,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine (Delayed Release) 20 Mg/ 30 Mg/ 20 Mg Capsules+Pregabalin 50 Mg / 75 Mg / 75 Mg,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride 20.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Neuropathic Pain.,10-NOV-2022,Windlas Biotech Limited
Duloxetine (Delayed Release) 20 Mg/ 30 Mg/ 20 Mg Capsules+Pregabalin 50 Mg / 75 Mg / 75 Mg,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride 30.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Neuropathic Pain.,10-NOV-2022,Windlas Biotech Limited
Duloxetine (Delayed Release) 20 Mg/ 30 Mg/ 20 Mg Capsules+Pregabalin 50 Mg / 75 Mg / 75 Mg,"Pregabalin 50.0000 Milligram (Mg),Duloxetine Hydrochloride 20.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Neuropathic Pain.,10-NOV-2022,Windlas Biotech Limited
Duloxetine (Delayed Release) Capsule+Pregabalin,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride Eq. To Duloxetine 10.0000 Milligram (Mg)",For The Treatment Of Peripheral Neuropathic Pain,26-NOV-2021,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine (Delayed Release) Capsule+Pregabalin,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride Eq. To Duloxetine 20.0000 Milligram (Mg)",For The Treatment Of Peripheral Neuropathic Pain,26-NOV-2021,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine (Delayed Release) Capsule+Pregabalin,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride Eq. To Duloxetine 30.0000 Milligram (Mg)",For The Treatment Of Peripheral Neuropathic Pain,26-NOV-2021,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine (Delayed Release) Capsule+Pregabalin,"Pregabalin 50.0000 Milligram (Mg),Duloxetine Hydrochloride Eq. To Duloxetine 20.0000 Milligram (Mg)",For The Treatment Of Peripheral Neuropathic Pain,26-NOV-2021,RAVENBHEL HEALTHCARE PVT LTD.
Duloxetine HCl (60mg) tablet (additional strength),,,28/02/2005,
Duloxetine Hcl (As Delayed Release Pellets)+Pregabalin,"Pregabalin (As Pellets) 75.0000 Milligram (Mg),Duloxetine Hcl Eq. To Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain,21-JUN-2022,Logos Pharma
Duloxetine Hcl (As Delayed Release Pellets)+Pregabalin,"Pregabalin (As Pellets) 50.0000 Milligram (Mg),Duloxetine Hcl Eq. To Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain,21-JUN-2022,Logos Pharma
Duloxetine Hcl (As Delayed Release Pellets)+Pregabalin,"Pregabalin (As Pellets) 75.0000 Milligram (Mg),Duloxetine Hcl Eq. To Duloxetine (As Delayed Release Pellets) 30.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain,21-JUN-2022,Logos Pharma
Duloxetine HCl capsules,"Enteric coated pellets of duloxetine-20mg, 30mg, 40mg, 60mg",For additional indication; i) for the treatment of moderate to severe stress urinary incontinence in women. Ii) for the management of neuropathic pain associated with diabetic peripheral neuropathy.,02/03/2005,
Duloxetine hcl enteric coated tablets,"Each enteric coated tablet contains; duloxetine hcl eq.to duloxetine-20mg,30mg,40mg, 40mg capsule should be used only for once daily dosing.",By psychiatrists- for the treatment of major depressive disorders in adults only.,02/11/2004,"TPL, Ahmedabad"
Duloxetine Hcl Ip Equivalent To Duloxetine (As Delayed Release Pellets) 20mg/20mg/30mg+Pregabalin Ip 75 Mg/50 Mg/75mg  Hard Gelatin Capsules.,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hcl Equivalent To Duloxetine (As Delayed Release Pellets) 30.0000 Milligram (Mg)",For The Treatment Of Patients With Peripheral Neuropathic Pain,28-OCT-2022,Synokem Pharmaceuticals Ltd
Duloxetine Hcl Ip Equivalent To Duloxetine (As Delayed Release Pellets) 20mg/20mg/30mg+Pregabalin Ip 75 Mg/50 Mg/75mg  Hard Gelatin Capsules.,"Pregabalin 50.0000 Milligram (Mg),Duloxetine Hcl Equivalent To Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Patients With Peripheral Neuropathic Pain,28-OCT-2022,Synokem Pharmaceuticals Ltd
Duloxetine Hcl Ip Equivalent To Duloxetine (As Delayed Release Pellets) 20mg/20mg/30mg+Pregabalin Ip 75 Mg/50 Mg/75mg  Hard Gelatin Capsules.,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hcl Equivalent To Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Patients With Peripheral Neuropathic Pain,28-OCT-2022,Synokem Pharmaceuticals Ltd
Duloxetine Hcl Ip+Pregabalin Ip,"Pregabalin Ip 50.0000 Milligram (Mg),Duloxetine Hcl Ip 20.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain.,11-JUL-2022,Mascot Health Series Pvt Ltd
Duloxetine Hcl Ip+Pregabalin Ip,"Pregabalin Ip 75.0000 Milligram (Mg),Duloxetine Hcl Ip 30.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain.,11-JUL-2022,Mascot Health Series Pvt Ltd
Duloxetine Hcl Ip+Pregabalin Ip,"Pregabalin Ip 75.0000 Milligram (Mg),Duloxetine Hcl Ip 20.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain.,11-JUL-2022,Mascot Health Series Pvt Ltd
Duloxetine Hcl+Pregabalin,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hcl Equivalent To Duloxetine (As Delayed Release Pellets) 30.0000 Milligram (Mg)",For The Treatment Of Patients With Moderate To Severe Neuropathic Pain,13-JUN-2022,Theon Pharmaceuticals Ltd
Duloxetine Hcl+Pregabalin,"Pregabalin 50.0000 Milligram (Mg),Duloxetine  Hcl Equivalent To  Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Patients With Moderate To Severe Neuropathic Pain,13-JUN-2022,Theon Pharmaceuticals Ltd
Duloxetine Hcl+Pregabalin,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hcl Equivalent To Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Patients With Moderate To Severe Neuropathic Pain,13-JUN-2022,Theon Pharmaceuticals Ltd
Duloxetine Hydrochloride Ip  Eq. To Duloxetine (As Delayed Release Pellets) 20 Mg/20 Mg/30 Mg+Pregabalin Ip 50mg/75mg/75 Mg Hard Gelatin Capsule,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride Ip Eq. To Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain,22-DEC-2022,SIGNATURE PHYTOCHEMICAL INDUSTRIES
Duloxetine Hydrochloride Ip  Eq. To Duloxetine (As Delayed Release Pellets) 20 Mg/20 Mg/30 Mg+Pregabalin Ip 50mg/75mg/75 Mg Hard Gelatin Capsule,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride Ip Eq. To Duloxetine (As Delayed Release Pellets) 30.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain,22-DEC-2022,SIGNATURE PHYTOCHEMICAL INDUSTRIES
Duloxetine Hydrochloride Ip  Eq. To Duloxetine (As Delayed Release Pellets) 20 Mg/20 Mg/30 Mg+Pregabalin Ip 50mg/75mg/75 Mg Hard Gelatin Capsule,"Pregabalin 50.0000 Milligram (Mg),Duloxetine Hydrochloride Ip  Eq. To Duloxetine (As Delayed Release Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain,22-DEC-2022,SIGNATURE PHYTOCHEMICAL INDUSTRIES
Duloxetine Hydrochloride+Pregabalin,"Pregabalin 50.0000 Milligram (Mg),Duloxetine Hydrochloride 20.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain,26-OCT-2021,Torrent Pharmaceuticals Ltd.
Duloxetine Hydrochloride+Pregabalin,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride 20.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain,26-OCT-2021,Torrent Pharmaceuticals Ltd.
Duloxetine Hydrochloride+Pregabalin,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride 30.0000 Milligram (Mg)",For The Treatment Of Neuropathic Pain,26-OCT-2021,Torrent Pharmaceuticals Ltd.
Duloxetine+Pregabalin,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride Eq To Duloxetine (As Gastro Resistant Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Diabetic Peripheral Neuropathic Pain,25-JAN-2022,PURE & CURE HEALTHCARE Pvt. Ltd.
Duloxetine+Pregabalin,"Pregabalin 75.0000 Milligram (Mg),Duloxetine Hydrochloride Eq To Duloxetine (As Gastro Resistant Pellets) 30.0000 Milligram (Mg)",For The Treatment Of Diabetic Peripheral Neuropathic Pain,25-JAN-2022,PURE & CURE HEALTHCARE Pvt. Ltd.
Duloxetine+Pregabalin,"Pregabalin Ip 50.0000 Milligram (Mg),Duloxetine Hydrochloride Ip Eq. To Duloxetine (As Gastro-Resistant Release Pellet) 10.0000 Milligram (Mg)",For The Treatment Of Diabetic Peripheral Neuropathic Pain,22-SEP-2023,PURE & CURE HEALTHCARE Pvt. Ltd.
Duloxetine+Pregabalin,"Pregabalin 50.0000 Milligram (Mg),Duloxetine Hydrochloride Eq To Duloxetine (As Gastro Resistant Pellets) 20.0000 Milligram (Mg)",For The Treatment Of Diabetic Peripheral Neuropathic Pain,25-JAN-2022,PURE & CURE HEALTHCARE Pvt. Ltd.
Duloxetine+Pregabalin,"Pregabalin 50.0000 Milligram (Mg),Duloxetine Hydrochloride Eq To Duloxetine (As Gastro Resistant Pellets) 10.0000 Milligram (Mg)",For The Treatment Of Diabetic Peripheral Neuropathic Pain,25-JAN-2022,PURE & CURE HEALTHCARE Pvt. Ltd.
Dupilumab,"Dupilumab 146.0000 Mg/Ml,Sucrose 5.0000 Percent Weight/Volume (W/V),L-Histidine Monohydrochloride Monohydrate 20.0000 Mm,L-Histidine 20.0000 Mm,Glacial Acetic Acid 12.5000 Mm,L-Arginine Monohydrochloride 25.0000 Mm,Water For Injection 0.0000 Qs For 2ml,Sodium Acetate Trihydrate 12.5000 Mm,Polysorbate 80 0.2000 Percent Weight/Volume (W/V)",Dupilumab Is Indicated For Treatment Of Adult Patients With Moderate To Severe Atopic Dermatitis Whose Disease Is Not Adequately Controlled With Topical Prescription Therapies Or When Those Therapies Are Not Advisable,13-APR-2023,SANOFI HEALTHCARE INDIA PRIVATE LIMITED
Dural graft implant,Primarily composed of type I bovine collagen,By specialists only- for use in procedures where the repair of substitution of the patients dura matter is intended.,15/02/2005,Depuy medical pvt ltd.
Durvalumab,"Durvalumab 500.0000 Milligram (Mg),Durvalumab 120.0000 Milligram (Mg),L-Histidine 20.0000 Milligram (Mg),L-Histidine Hydrochloride Monohydrate 27.0000 Milligram (Mg),Α,Α-Trehalose Dihydrate 1040.0000 Milligram (Mg),Polysorbate 80 2.0000 Milligram (Mg),Water For Injection (Wfi) 9000.0000 Milligram (Mg)","Urothelial Carcinoma Imfinzi Is Indicated For The Treatment Of Patients With Locally Advanced Or Metastatic Urothelial Carcinoma Whose Disease Has Progressed During Or After Platinum-Based Chemotherapy.  Locally Advanced Non-Small Cell Lung Cancer (Nsclc) Imfinzi Is Indicated For The Treatment Of Patients With Locally Advanced, Unresectable Nsclc Whose Disease Has Not Progressed Following Platinum-Based Chemoradiation Therapy.",20-JUN-2018,AstraZeneca Pharma India Limited
Durvalumab 120 Mg/2.4 Ml And 500 Mg/10 Ml Solution For Infusion,Durvalumab 500.0000 Milligram (Mg),Durvalumab In Combination With Etoposide And Either Carboplatin Or Cisplatin Is Indicated For The First-Line Treatment Of Patients With Extensive-Stage Small Cell Lung Cancer (Es-Sclc),13-JUL-2020,AstraZeneca Pharma India Limited
Durvalumab 120 Mg/2.4 Ml And 500 Mg/10 Ml Solution For Infusion,Durvalumab 120.0000 Milligram (Mg),Durvalumab In Combination With Etoposide And Either Carboplatin Or Cisplatin Is Indicated For The First-Line Treatment Of Patients With Extensive-Stage Small Cell Lung Cancer (Es-Sclc),13-JUL-2020,AstraZeneca Pharma India Limited
Durvalumab 120 Mg/2.4 Ml And 500 Mg/10 Ml Solution For Infusion (Imfinzi),"Durvalumab 50.0000 Mg/Ml,L-Histidine 13.0000 Mm,L-Histidine Hydrochloride Monohydrate 13.0000 Mm,Trehalose Dihydrate 275.0000 Mm,Polysorbate 80 0.0200 % W/V,Water For Injection 50.0000 M Approx","Imfinzi In Combination With Chemotherapy As Neoadjuvant Treatment, Followed By Imfinzi As Monotherapy After Surgery, Is Indicated For The Treatment Of Patients With Resectable (Tumours ≥ 4 Cm And/Or Node Positive) Nsclc And No Known Epidermal Growth Factor Receptor (Egfr) Mutations Or Anaplastic Lymphoma Kinase (Alk) Rearrangements.",23-SEP-2024,AstraZeneca Pharma India Limited
Durvalumab 120 Mg/2.4ml And 500mg/10ml Solution For Infusion (Imfinzi),"Durvalumab 50.0000 Mg/Ml,L-Histidine 13.0000 Mm,L-Histidine Hydrochloride Monohydrate 13.0000 Mm,Α,Α-Trehalose Dihydrate 275.0000 Mm,Polysorbate 80 0.0200 % W/V,Water For Injection 50.0000 M Approximately",Durvalumab In Combination With Tremelimumab Is Indicated For The Treatment Of Patients With Unresectable Hepatocellular Carcinoma (Uhcc),28-FEB-2025,AstraZeneca Pharma India Limited
Durvalumab Solution For Infusion 120 Mg/2.4ml & 500 Mg/10ml,"Durvalumab 50.0000 Mg/Ml,L-Histidine 13.0000 Mm,L-Histidine Hydrochloride Monohydrate 13.0000 Mm,Α,Α-Trehalose Dihydrate 275.0000 Mm,Polysorbate 80 0.0200 % W/V,Water For Injection 50.0000 M Approximately",Imfinzi Is Indicated For The Treatment Of Patients With Limited-Stage Small Cell Lung Cancer (Ls-Sclc) Whose Disease Has Not Progressed Following Platinum-Based Chemoradiation Therapy (Crt),07-MAR-2025,AstraZeneca Pharma India Limited
