Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
6% Hydroxy Ethyl Starch (130/0.4) In Balanced Crystalloid Solution For  Infusion,"Poly(O-2-Hydroxyethyl)Starch 60.0000 Gm/1000ml,Sodium Acetate Trihydrate 4.6300 Gm/1000ml,Sodium Chloride 6.0200 Gm/1000ml,Potassium Chloride 0.3000 Gm/1000ml,Magnesium Chloride Hexahydrate 0.3000 Gm/1000ml",6% Hydroxy Ethyl Starch (130/0.4) In Balanced Crystalloid Solution For Infusion (Brand Name: Volulyte 6% Solution For Infusion) Is Indicated For The Treatment And Prophylaxis Of Hypovolaemia In Adults And Children. It Is Not A Substitute For Red Blood Cells Or Coagulation Factors In Plasma.,02-AUG-2021,Fresenius Kabi India Pvt. Ltd.
6% Hydroxy Ethyl Starch (130/0.4) Solution For Infusion,"Poly(O-2-Hydroxyethyl)Starch 60.0000 Gm/1000ml,Sodium Chloride 9.0000 Gm/1000ml",6% Hydroxy Ethyl Starch (130/0.4) Solution For Infusion (Brand Name: Voluven 6% Solution For Infusion) Is Indicated For The Treatment And Prophylaxis Of Hypovolaemia In Adults And Children. It Is Not A Substitute For Red Blood Cells Or Coagulation Factors In Plasma.,02-AUG-2021,Fresenius Kabi India Pvt. Ltd.
Abacavir 60mg+Dolutegravir 5mg+Lamivudine 30mg Dispersible Tablets,"Abacavir Sulfate Equivalent To Abacavir 60.0000 Milligram (Mg),Dolutegravir Sodium Equivalent To Dolutegravir 5.0000 Milligram (Mg),Lamivudine 30.0000 Milligram (Mg)",For Treatment Of Hiv 1 Infection In Adults And In Pediatric Patients Aged At Least 3 Years And Weighing At Least 6 Kg,01-MAY-2025,Mylan Laboratories Limited
Abacavir Sulfate+Dolutegravir Sodium+Lamivudine,Lamivudine 30.0000 Milligram (Mg),"Abacavir, Dolutegravir, And Lamivudine Is A Combination Medicine Used To Treat Human Immunodeficiency Virus (Hiv).",01-APR-2025,APL HEALTH CARE LIMITED
Abacavir Sulfate+Dolutegravir Sodium+Lamivudine,"Lamivudine 300.0000 Milligram (Mg),Abacavir Sulfate 600.0000 Milligram (Mg),Dolutegravir Sodium 50.0000 Milligram (Mg),Descyclopropyl Abacavir 0.2000 %,Cyclopropyldiaminopurine Abacavir 0.2000 %,Any Other Individual Impurity (Abacavir) 0.2000 %,Cytosine 0.2000 %,Lamivudine – (S-Sulfoxide) 0.2000 %,Lamivudine – (R-Sulfoxide) 0.2000 %,Uracil 0.2000 %,Uracil Derivative 1.2000 %,Any Individual Unknown Impurity (Lamivudine) 0.2000 %,Any Individual Unknown Impurity (Dolutegravir) 0.2000 %,Total Related Substances (Method – I & Method – Ii) 4.0000 %",Treatment Of Hiv/Aids,20-MAY-2020,Aurobindo Pharma Ltd
Abacavir Sulfate+Dolutegravir Sodium+Lamivudine,Abacavir Sulfate 60.0000 Milligram (Mg),"Abacavir, Dolutegravir, And Lamivudine Is A Combination Medicine Used To Treat Human Immunodeficiency Virus (Hiv).",01-APR-2025,APL HEALTH CARE LIMITED
Abacavir Sulfate+Dolutegravir Sodium+Lamivudine,Dolutegravir Sodium 5.0000 Milligram (Mg),"Abacavir, Dolutegravir, And Lamivudine Is A Combination Medicine Used To Treat Human Immunodeficiency Virus (Hiv).",01-APR-2025,APL HEALTH CARE LIMITED
Abacavir Sulfate+Dolutegravir Sodium+Lamivudine,"Abacavir Sulfate 600.0000 Milligram (Mg),Dolutegravir Sodium 50.0000 Milligram (Mg),Lamivudine 300.0000 Milligram (Mg)",Indicated For The Treatment Of Hiv Infection In Adults Weighing More Than 40 Kg,22-MAY-2020,LAURUS LABS LIMITED
Abacavir Sulfate Tablet 60mg,,For the treatment of HIV-1 infection in combination with other antiretroviral agents.,01.08.09,
Abacavir Sulphate+Lamivudine,"Lamivudine 60.0000 Milligram (Mg),Abacavir Sulphate 120.0000 Milligram (Mg)",Indicated In The Treatment Of Hiv 1 Infection In Children,12-OCT-2020,Mylan Laboratories Limited
Abacavir sulphate oral solution,Each 1ml oral solution contains; abacavir (as sulphate)-20mg,By RMP only- for the treatment of HIV infection in combination with other anti retroviral drugs.,20/09/2004,Cipla ltd.
Abacavir Sulphate syrup 20mg/ml,Each ml contains; abacavir sulphate IP eq.to abacavir-20mg,For the treatment of patients with HIV Infection.,29/08/2006,Emcure pharma
Abacavir sulphate tablets & bulk,Each tablet contains; abacavir sulphate eq.to abacavir-300mg,HIV infection in combination with other antiretroviral agent.,22-03-2002,"Hetero lab, hetero drug."
Abacavir sulphate + zidovudine+lamivudine tabs,"Each tab contains; lamivudine-150mg, zidovudine-300mg, abacavir(as sulphate)-300mg",By RMP- alone or in combination with other antiretroviral agents for treatment of HIV-1 infection.,03/10/2003,"Cipla ltd. Hetero drugs, Ranbaxy labs."
Abatacept Injection 250mg/vial (additional indication),,For reducing signs and symptoms of moderately to severly active polyarticular juvenile idiopathic arthritis/juvenile rheumatoid arthritis in pediatric patients 6 years of age and older who have had an inadequate response to one or more DMARD's such as MTXÞ¡,10.04.09,
Abatacept Injection 250mg/vial (Addl. Indication),,In moderately to severly active rheumatoid arithritis in adults and may be used as monotherapy or concomitantly with DMARD's other than TNF antagonists.,20.02.09,
Abatacept powder for injection 250mg/vial,Each vial contains; abatacept-250mg,"For the treatment of adult patients with severe active rheumatoid arthritis, who had an inadequate response to one more DMARDs such as methotrexate or TNF antagonists.",22.07.08,Bristol-Myers Squibb India p ltd.
Abciximab injection,Each 5ml vial contains; abciximab-10mg,,02/05/1997,"Eli lilly, Ranbaxy"
Abemaciclib,Abemaciclib 200.0000 Milligram (Mg),"(I)	Abemaciclib Is Indicated For The Treatment Of Women With Hormone Receptor (Hr) Positive, Human Epidermal Growth Factor Receptor 2 (Her2) Negative Locally Advanced Or Metastatic Breast Cancer In Combination With An Aromatase Inhibitor Or Fulvestrant As Initial Endocrine-Based Therapy, Or In Women Who Have Received Prior Endocrine Therapy.  •	In Pre- Or Perimenopausal Women, The Endocrine Therapy Should Be Combined With A Luteinising Hormone-Releasing Hormone (Lhrh) Agonist.,(Ii)	As Monotherapy For The Treatment Of Adult Patients With Hr-Positive, Her2-Negative Advanced Or Metastatic Breast Cancer With Disease Progression Following Endocrine Therapy And Prior Chemotherapy In The Metastatic Setting.",17-JAN-2020,Eli Lilly And Company
Abemaciclib,"Microcrystalline Cellulose 102 196.0000 Milligram (Mg),Abemaciclib 200.0000 Milligram (Mg),Croscarmellose Sodium 28.0000 Milligram (Mg),Lactose Monohydrate; Lactose Hydrate 56.0000 Milligram (Mg),Silicon Dioxide; Silica, Colloidal Hydrated; Hydrated Silicon Dioxide 8.0000 Milligram (Mg),Sodium Stearyl Fumarate 16.0000 Milligram (Mg),Microcrystalline Cellulose 101 56.0000 Milligram (Mg)","Early Breast Cancer Ramiven® In Combination With Endocrine Therapy Is Indicated For The Adjuvant Treatment Of Adult Patients With Hormone Receptor (Hr) Positive, Human Epidermal Growth Factor Receptor 2 (Her2) Negative, Node Positive Early Breast Cancer At High Risk Of Recurrence (See Section Pharmacodynamic Property). In Pre  Or Perimenopausal Women, Aromatase Inhibitor Endocrine Therapy Should Be Combined With A Luteinising Hormone-Releasing Hormone (Lhrh) Agonist.",11-OCT-2022,Eli Lilly And Company
Abemaciclib,"Croscarmellose Sodium 7.0000 Milligram (Mg),Lactose Monohydrate; Lactose Hydrate 14.0000 Milligram (Mg),Microcrystalline Cellulose 102 49.0000 Milligram (Mg),Microcrystalline Cellulose 101 14.0000 Milligram (Mg),Silicon Dioxide; Silica, Colloidal Hydrated; Hydrated Silicon Dioxide 2.0000 Milligram (Mg),Abemaciclib 50.0000 Milligram (Mg),Sodium Stearyl Fumarate 4.0000 Milligram (Mg)","Early Breast Cancer Ramiven® In Combination With Endocrine Therapy Is Indicated For The Adjuvant Treatment Of Adult Patients With Hormone Receptor (Hr) Positive, Human Epidermal Growth Factor Receptor 2 (Her2) Negative, Node Positive Early Breast Cancer At High Risk Of Recurrence (See Section Pharmacodynamic Property). In Pre  Or Perimenopausal Women, Aromatase Inhibitor Endocrine Therapy Should Be Combined With A Luteinising Hormone-Releasing Hormone (Lhrh) Agonist.",11-OCT-2022,Eli Lilly And Company
Abemaciclib,"Croscarmellose Sodium 21.0000 Milligram (Mg),Abemaciclib 150.0000 Milligram (Mg),Microcrystalline Cellulose 101 42.0000 Milligram (Mg),Silicon Dioxide; Silica, Colloidal Hydrated; Hydrated Silicon Dioxide 6.0000 Milligram (Mg),Microcrystalline Cellulose 102 147.0000 Milligram (Mg),Sodium Stearyl Fumarate 12.0000 Milligram (Mg),Lactose Monohydrate; Lactose Hydrate 42.0000 Milligram (Mg)","Early Breast Cancer Ramiven® In Combination With Endocrine Therapy Is Indicated For The Adjuvant Treatment Of Adult Patients With Hormone Receptor (Hr) Positive, Human Epidermal Growth Factor Receptor 2 (Her2) Negative, Node Positive Early Breast Cancer At High Risk Of Recurrence (See Section Pharmacodynamic Property). In Pre  Or Perimenopausal Women, Aromatase Inhibitor Endocrine Therapy Should Be Combined With A Luteinising Hormone-Releasing Hormone (Lhrh) Agonist.",11-OCT-2022,Eli Lilly And Company
Abemaciclib,"Sodium Stearyl Fumarate 8.0000 Milligram (Mg),Abemaciclib 100.0000 Milligram (Mg),Microcrystalline Cellulose 102 98.0000 Milligram (Mg),Microcrystalline Cellulose 101 28.0000 Milligram (Mg),Silicon Dioxide; Silica, Colloidal Hydrated; Hydrated Silicon Dioxide 4.0000 Milligram (Mg),Lactose Monohydrate; Lactose Hydrate 28.0000 Milligram (Mg),Croscarmellose Sodium 14.0000 Milligram (Mg)","Early Breast Cancer Ramiven® In Combination With Endocrine Therapy Is Indicated For The Adjuvant Treatment Of Adult Patients With Hormone Receptor (Hr) Positive, Human Epidermal Growth Factor Receptor 2 (Her2) Negative, Node Positive Early Breast Cancer At High Risk Of Recurrence (See Section Pharmacodynamic Property). In Pre  Or Perimenopausal Women, Aromatase Inhibitor Endocrine Therapy Should Be Combined With A Luteinising Hormone-Releasing Hormone (Lhrh) Agonist.",11-OCT-2022,Eli Lilly And Company
Abemaciclib,Abemaciclib 50.0000 Milligram (Mg),"(I)	Abemaciclib Is Indicated For The Treatment Of Women With Hormone Receptor (Hr) Positive, Human Epidermal Growth Factor Receptor 2 (Her2) Negative Locally Advanced Or Metastatic Breast Cancer In Combination With An Aromatase Inhibitor Or Fulvestrant As Initial Endocrine-Based Therapy, Or In Women Who Have Received Prior Endocrine Therapy.  •	In Pre- Or Perimenopausal Women, The Endocrine Therapy Should Be Combined With A Luteinising Hormone-Releasing Hormone (Lhrh) Agonist.,(Ii)	As Monotherapy For The Treatment Of Adult Patients With Hr-Positive, Her2-Negative Advanced Or Metastatic Breast Cancer With Disease Progression Following Endocrine Therapy And Prior Chemotherapy In The Metastatic Setting.",17-JAN-2020,Eli Lilly And Company
Abemaciclib,Abemaciclib 100.0000 Milligram (Mg),"(I)	Abemaciclib Is Indicated For The Treatment Of Women With Hormone Receptor (Hr) Positive, Human Epidermal Growth Factor Receptor 2 (Her2) Negative Locally Advanced Or Metastatic Breast Cancer In Combination With An Aromatase Inhibitor Or Fulvestrant As Initial Endocrine-Based Therapy, Or In Women Who Have Received Prior Endocrine Therapy.  •	In Pre- Or Perimenopausal Women, The Endocrine Therapy Should Be Combined With A Luteinising Hormone-Releasing Hormone (Lhrh) Agonist.,(Ii)	As Monotherapy For The Treatment Of Adult Patients With Hr-Positive, Her2-Negative Advanced Or Metastatic Breast Cancer With Disease Progression Following Endocrine Therapy And Prior Chemotherapy In The Metastatic Setting.",17-JAN-2020,Eli Lilly And Company
Abemaciclib,Abemaciclib 150.0000 Milligram (Mg),"(I)	Abemaciclib Is Indicated For The Treatment Of Women With Hormone Receptor (Hr) Positive, Human Epidermal Growth Factor Receptor 2 (Her2) Negative Locally Advanced Or Metastatic Breast Cancer In Combination With An Aromatase Inhibitor Or Fulvestrant As Initial Endocrine-Based Therapy, Or In Women Who Have Received Prior Endocrine Therapy.  •	In Pre- Or Perimenopausal Women, The Endocrine Therapy Should Be Combined With A Luteinising Hormone-Releasing Hormone (Lhrh) Agonist.,(Ii)	As Monotherapy For The Treatment Of Adult Patients With Hr-Positive, Her2-Negative Advanced Or Metastatic Breast Cancer With Disease Progression Following Endocrine Therapy And Prior Chemotherapy In The Metastatic Setting.",17-JAN-2020,Eli Lilly And Company
